TerritoryID,TerritoryNumber,CategoryCode,Category,TerritoryAddressID,ApartmentNumber,Number,Street,Suburb,PostalCode,State,Name,Phone,Type,Status,NotHomeAttempt,Date1,Date2,Date3,Date4,Date5,Language,Latitude,Longitude,Notes,NotesFromPublisher
4755744,104,,,3677685,,,Whangamaru Way,Pahurehure,2010,Auckland,,,House,Available,0,,,,,,,-37.0583254,174.9313723,,
4755744,104,,,9310897,,,Albert Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.07205057,174.9473948,,
4755744,104,,,7154427,,,Albion Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06654513,174.9598221,,
4755744,104,,,4664772,,,Alf Walker Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06017072,174.9480227,,
4755744,104,,,5209254,,,Alliance Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05141227,174.9407317,,
4755744,104,,,5707166,,,Alma Crescent,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05915707,174.9508604,,
4755744,104,,,8729182,,,Alpha Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06255997,174.948683,,
4755744,104,,,2132555,,,Ancroft Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05340182,174.9637091,,
4755744,104,,,9343063,,,Arahopu Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04879251,174.950022,,
4755744,104,,,5352797,,,Aramata Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04847385,174.9510742,,
4755744,104,,,2643810,,,Arapapa Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04865713,174.9504366,,
4755744,104,,,8352193,,,Arawa Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06580343,174.9491004,,
4755744,104,,,3285852,,,Arawai Terrace,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05182897,174.971308124714,,
4755744,104,,,1336673,,,Arimu Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.050968,174.9378066,,
4755744,104,,,8517482,,,Artillery Drive,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05557405,174.9439641,,
4755744,104,,,5776384,,,Artistry Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05246715,174.9468679,,
4755744,104,,,2477821,,,Bates Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0678803,174.9552185,,
4755744,104,,,7654312,,,Beardmore Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0514877,174.9412338,,
4755744,104,,,4235115,,,Bei Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04896788,174.9494623,,
4755744,104,,,4985092,,,Belgrave Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0603064,174.9649146,,
4755744,104,,,9378856,,,Bellbird Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0509314,174.9530309,,
4755744,104,,,4890498,,,Bhangal Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06397333,174.954592,,
4755744,104,,,2270206,,,Bravery Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04747166,174.9427259,,
4755744,104,,,2327819,,,Brightwell Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05327892,174.9626865,,
4755744,104,,,5160531,,,Brynbela Court,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0563862,174.9376359,,
4755744,104,,,1630740,,,Bunnythorpe Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0564439,174.9560148,,
4755744,104,,,4032752,,,Busing Avenue,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05617755,174.9580319,,
4755744,104,,,3450239,,,Calvert Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06907895,174.9587586,,
4755744,104,,,1309193,,,Campbell Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05793056,174.9492841,,
4755744,104,,,6588646,,,Captain Rings Drive,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05103741,174.969631347452,,
4755744,104,,,8870954,,,Cargill Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05498493,174.9664782,,
4755744,104,,,6689739,,,Chapel Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0672232,174.9467493,,
4755744,104,,,2633450,,,Charles Henry Way,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04889308,174.970167241431,,
4755744,104,,,4485604,,,Clayden Shuttleworth Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0473845,174.9533789,,
4755744,104,,,5154483,,,Clevedon Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06215236,174.9486434,,
