TerritoryID,TerritoryNumber,CategoryCode,Category,TerritoryAddressID,ApartmentNumber,Number,Street,Suburb,PostalCode,State,Name,Phone,Type,Status,NotHomeAttempt,Date1,Date2,Date3,Date4,Date5,Language,Latitude,Longitude,Notes,NotesFromPublisher
5395105,3,2,Area,9545560,,18,Allens Road,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.943238,174.891589,,
5395105,3,2,Area,8692795,,35,Allens Road,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.942298,174.889196,,
5395105,3,2,Area,7725243,,9,Allens Road,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.942878,174.891891,,
5395105,3,2,Area,3565837,,A9,Allens Road,East Tāmaki,2013,Auckland,Eastern Dragon Ltd,,Business,Available,0,,,,,,,-36.942878,174.891891,No Postal Delivery,
5395105,3,2,Area,4765507,,B9,Allens Road,East Tāmaki,2013,Auckland,KW Auto Parts Ltd,,Business,Available,0,,,,,,,-36.942009,174.892322,Found in white pages,
5395105,3,2,Area,6511877,,E38,Allens Road,East Tāmaki,2013,Auckland,Skyview Trading Ltd,,Business,Available,0,,,,,,,-36.942663,174.888092,,
5395105,3,2,Area,6217770,,46,Andromeda Crescent,East Tāmaki,2013,Auckland,Granite Kitchen Direct,,Business,Available,0,,,,,,,-36.947489,174.884867,,
5395105,3,2,Area,2288003,,6,Andromeda Crescent,East Tāmaki,2013,Auckland,Defi Co Ltd,,Business,Available,0,,,,,,,-36.948394,174.888335,,
5395105,3,2,Area,1825864,,B324,Andromeda Crescent,East Tāmaki,2013,Auckland,TradeMaster Ltd,,Business,Available,0,,,,,,,-36.949485,174.886274,No Postal Delivery,
5395105,3,2,Area,9404448,,B9,Andromeda Crescent,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.948591,174.887583,,
5395105,3,2,Area,5883159,,D44,Andromeda Crescent,East Tāmaki,2013,Auckland,STO Express,,Business,Available,0,,,,,,,-36.947874,174.884955,Found in white pages Alternative Phone Number: 021 826 621,
5395105,3,2,Area,2019181,,F11,Andromeda Crescent,East Tāmaki,2013,Auckland,"Universal (NZ) Co, Ltd",,Business,Available,0,,,,,,,-36.948966,174.887457,,
5395105,3,2,Area,4009381,,13,Arwen Place,East Tāmaki,2013,Auckland,First Mart Wholesale,,Business,Available,0,,,,,,,-36.947719,174.882073,Street Number 13-17,
5395105,3,2,Area,9912010,,C20,Arwen Place,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.948475,174.882369,,
5395105,3,2,Area,4402217,,18,Blackburn Road,East Tāmaki,2013,Auckland,Mandarin Products,,Business,Available,0,,,,,,,-36.940692,174.888778,No Postal Delivery,
5395105,3,2,Area,3777008,,411,Blackburn Road,East Tāmaki,2013,Auckland,SOA NZ Ltd,,Business,Available,0,,,,,,,-36.94053,174.889543,,
5395105,3,2,Area,6506730,,15,Crooks Road,East Tāmaki,2013,Auckland,Mega Food Services Ltd,,Business,Available,0,,,,,,,-36.939036,174.887398,,
5395105,3,2,Area,3572079,,48,Crooks Road,East Tāmaki,2013,Auckland,Alpha Laboratories,,Business,Available,0,,,,,,,-36.939021,174.893455,,
5395105,3,2,Area,8351789,,A73,Crooks Road,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.939878,174.893642,,
5395105,3,2,Area,1529593,,110,Cryers Road,East Tāmaki,2013,Auckland,Jingli Dong,,Business,Available,0,,,,,,,-36.930697,174.892487,Found doing white pages search but I think this is the name of the Director rather than the business,
5395105,3,2,Area,5468794,,68,Cryers Road,East Tāmaki,2013,Auckland,Fresher Foods,,Business,Available,0,,,,,,,-36.930894,174.889608,"Postal Address: PO Box 58040, Botany, Manukau 2163",
5395105,3,2,Area,8255323,,B136,Cryers Road,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.9301,174.894792,,
5395105,3,2,Area,2506056,,122,Harris Road,East Tāmaki,2013,Auckland,Sunny Lunchbar,,Business,Available,0,,,,,,,-36.941419,174.893872,,
5395105,3,2,Area,4562756,,80,Harris Road,East Tāmaki,2013,Auckland,Super Deal,,Business,Available,0,,,,,,,-36.935695,174.895393,No Postal Delivery,
5395105,3,2,Area,7327283,,822,Harris Road,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.941419,174.893872,,
5395105,3,2,Area,4963055,,84,Harris Road,East Tāmaki,2013,Auckland,Greenstar Holding Ltd,,Business,Available,0,,,,,,,-36.935279,174.895515,,
5395105,3,2,Area,9649349,,A166,Harris Road,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.927628,174.897153,,
5395105,3,2,Area,2887008,,E1138,Harris Road,East Tāmaki,2013,Auckland,Mega Hugo International Logistics (NZ) Ltd,,Business,Available,0,,,,,,,-36.930485,174.896269,,
5395105,3,2,Area,6143828,,E138,Harris Road,East Tāmaki,2013,Auckland,Intedevice Ltd,,Business,Available,0,,,,,,,-36.93043,174.896339,,
5395105,3,2,Area,7351448,,F138,Harris Road,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.93043,174.896339,,
5395105,3,2,Area,5387310,,G138,Harris Road,East Tāmaki,2013,Auckland,Jing Hong Bathroom & Kitchen,,Business,Available,0,,,,,,,-36.930485,174.896269,Alternative Phone Number: 021 358 806,
5395105,3,2,Area,5224295,,G154,Harris Road,East Tāmaki,2013,Auckland,Nulook Windows & Doors,,Business,Available,0,,,,,,,-36.927977,174.896648,,
5395105,3,2,Area,6412510,,H138,Harris Road,East Tāmaki,2013,Auckland,LQR IT Ltd,,Business,Available,0,,,,,,,-36.93043,174.896339,,
5395105,3,2,Area,4949921,,I138,Harris Road,East Tāmaki,2013,Auckland,Promax Colours,,Business,Available,0,,,,,,,-36.930485,174.896269,PH: 0800 776 265,
5395105,3,2,Area,1483167,,J138,Harris Road,East Tāmaki,2013,Auckland,Best Curtain,,Business,Available,0,,,,,,,-36.93043,174.896339,,
5395105,3,2,Area,8662594,,K138,Harris Road,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.93043,174.896339,,
5395105,3,2,Area,1783853,,1,Highbrook Drive,East Tāmaki,2013,Auckland,PC Force Ltd,,Business,Available,0,,,,,,,-36.937456,174.883662,Alternative Phone Number: 09 962 5620,
5395105,3,2,Area,2613666,,86,Highbrook Drive,East Tāmaki,2013,Auckland,RSM Prince Ford Building,,Business,Available,0,,,,,,,-36.939669,174.867866,,
5395105,3,2,Area,9534761,,157,Kerwyn Avenue,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.945479,174.882497,,
5395105,3,2,Area,4016976,,557,Kerwyn Avenue,East Tāmaki,2013,Auckland,Yongyi Aluminium Ltd,,Business,Available,0,,,,,,,-36.945479,174.882497,,
5395105,3,2,Area,1688645,,E2,Kerwyn Avenue,East Tāmaki,2013,Auckland,Smart PC,,Business,Available,0,,,,,,,-36.950735,174.891515,No Postal Delivery,
5395105,3,2,Area,3106028,,25,Lorien Place,East Tāmaki,2013,Auckland,Supreme Kitchen,,Business,Available,0,,,,,,,-36.943725,174.878374,,
5395105,3,2,Area,2276775,,B6,Lorien Place,East Tāmaki,2013,Auckland,The Soy Works Company Ltd,,Business,Available,0,,,,,,,-36.945222,174.880343,,
5395105,3,2,Area,7122558,,C5,Lorien Place,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.944895,174.880496,,
5395105,3,2,Area,8400401,,11,Neilpark Drive,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.940261,174.883968,,
5395105,3,2,Area,7226435,,3,Neilpark Drive,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.939001,174.884501,,
5395105,3,2,Area,3241040,,9,Neilpark Drive,East Tāmaki,2013,Auckland,Mega Import & Export Ltd,,Business,Available,0,,,,,,,-36.940015,174.884053,"Postal Address: PO Box 204088, Highbrook, Auckland 2161",
5395105,3,2,Area,9419983,,A15,Neilpark Drive,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.940728,174.883536,,
5395105,3,2,Area,6243879,,B4,Pukekiwiriki Place,East Tāmaki,2013,Auckland,ZTO Express (NZ) Ltd,,Business,Available,0,,,,,,,-36.941398,174.878585,Company possibly in liquidation,
5395105,3,2,Area,5257241,,B10,Ra Ora Drive,East Tāmaki,2013,Auckland,Elite International Wholesale Ltd,,Business,Available,0,,,,,,,-36.939787,174.882071,,
5395105,3,2,Area,2915897,,C22,Ra Ora Drive,East Tāmaki,2013,Auckland,Karyen Limited,,Business,Available,0,,,,,,,-36.94111,174.881968,"Owner Chinese, staff Hindi",
5395105,3,2,Area,1513635,,G24,Ra Ora Drive,East Tāmaki,2013,Auckland,JR Print,,Business,Available,0,,,,,,,-36.941505,174.881833,,
5395105,3,2,Area,3994645,,H24,Ra Ora Drive,East Tāmaki,2013,Auckland,Delicious Bakehouse,,Business,Available,0,,,,,,,-36.941505,174.881833,No Postal Delivery,
5395105,3,2,Area,8300866,,B10,Stonedon Drive,East Tāmaki,2013,,,,House,Available,0,,,,,,,-36.933841,174.883778,,
5395105,3,2,Area,5310512,,A16,Zelanian Drive,East Tāmaki,2013,Auckland,Q&F Clothing Warehouse,,Business,Available,0,,,,,,,-36.944732,174.888891,,
5395105,3,2,Area,9998361,,90,Springside Drive,Flat Bush,2010,,,,House,Available,0,,,,,,,-36.944842,174.892989,,
